180.99	32.941
181.20	32.941
181.42	32.941
181.63	-52.727
181.85	600.000
182.06	148.000
182.27	29.500
182.49	-7.778
182.70	-43.077
182.92	40.952
183.13	3.438
183.35	78.095
183.56	137.370
183.78	296.825
183.99	360.408
184.21	52.798
184.42	85.284
184.63	-58.039
184.85	-7.681
185.06	4.367
185.28	13.278
185.49	-3.023
185.71	6.520
185.92	9.585
186.14	12.606
186.35	-38.130
186.57	8.281
186.78	7.239
186.99	20.708
187.21	3.925
187.42	16.714
187.64	12.884
187.85	-2.878
188.07	19.206
188.28	9.290
188.49	1.919
188.71	22.043
188.92	4.841
189.14	-0.415
189.35	20.518
189.57	-7.104
189.78	5.655
190.00	12.802
190.21	13.549
190.42	6.380
190.64	-12.896
190.85	1.728
191.07	11.938
191.28	5.779
191.50	-15.172
191.71	0.964
191.92	-11.551
192.14	0.024
192.35	21.507
192.57	2.108
192.78	18.684
192.99	-4.681
193.21	9.593
193.42	-0.976
193.64	1.988
193.85	23.478
194.07	22.354
194.28	15.639
194.49	10.130
194.71	18.047
194.92	13.155
195.14	5.332
195.35	7.649
195.56	6.124
195.78	-7.276
195.99	4.839
196.21	8.247
196.42	23.860
196.64	6.509
196.85	-5.492
197.06	9.942
197.28	-14.773
197.49	-2.306
197.71	14.045
197.92	23.010
198.13	6.482
198.35	2.615
198.56	14.387
198.78	14.064
198.99	-1.811
199.20	29.622
199.42	3.055
199.63	4.379
199.84	-2.953
200.06	1.621
200.27	21.158
200.49	15.122
200.70	-3.708
200.91	8.868
201.13	13.754
201.34	13.632
201.56	8.759
201.77	8.375
201.98	22.649
202.20	-0.346
202.41	7.985
202.63	17.044
202.84	0.678
203.05	11.084
203.27	0.012
203.48	17.138
203.69	9.431
203.91	14.407
204.12	12.407
204.34	20.480
204.55	19.738
204.76	17.872
204.98	8.199
205.19	6.471
205.40	-5.217
205.62	-1.118
205.83	11.659
206.05	9.417
206.26	-5.375
206.47	2.532
206.69	19.891
206.90	7.257
207.11	13.995
207.33	20.590
207.54	12.450
207.75	19.098
207.97	19.507
208.18	17.317
208.40	14.684
208.61	5.314
208.82	6.084
209.04	4.039
209.25	10.592
209.46	3.860
209.68	9.935
209.89	0.308
210.10	2.747
210.32	16.511
210.53	14.021
210.74	5.781
210.96	28.726
211.17	-1.637
211.38	20.510
211.60	24.828
211.81	0.004
212.03	3.708
212.24	4.827
212.45	-0.928
212.67	6.841
212.88	11.468
213.09	13.266
213.31	4.617
213.52	17.116
213.73	26.633
213.95	8.641
214.16	-1.368
214.37	6.445
214.59	3.506
214.80	2.499
215.01	20.085
215.23	17.534
215.44	1.323
215.65	27.558
215.87	11.681
216.08	10.527
216.29	0.773
216.51	8.969
216.72	15.992
216.93	30.757
217.15	6.663
217.36	4.072
217.57	23.388
217.78	10.141
218.00	27.654
218.21	13.085
218.42	20.837
218.64	12.667
218.85	-10.534
219.06	7.811
219.28	22.447
219.49	2.352
219.70	18.800
219.92	3.085
220.13	0.012
220.34	9.716
220.56	24.226
220.77	14.780
220.98	13.140
221.20	-3.260
221.41	0.081
221.62	3.236
221.83	24.304
222.05	12.744
222.26	13.773
222.47	1.721
222.69	31.952
222.90	10.593
223.11	15.391
223.33	14.871
223.54	17.939
223.75	7.928
223.96	8.049
224.18	18.634
224.39	1.363
224.60	13.094
224.82	8.342
225.03	16.160
225.24	11.559
225.45	10.993
225.67	9.381
225.88	16.326
226.09	4.356
226.31	9.844
226.52	-1.096
226.73	6.146
226.94	11.669
227.16	15.430
227.37	1.299
227.58	10.853
227.80	4.710
228.01	13.563
228.22	14.779
228.43	14.906
228.65	3.432
228.86	2.905
229.07	13.408
229.29	10.037
229.50	11.586
229.71	11.939
229.92	10.317
230.14	6.576
230.35	13.635
230.56	-5.731
230.77	21.084
230.99	10.460
